ID;Item
83;Beans
144;Fresh Whole Chicken 1000
69;Whole Kernal Corn
144;Fresh Cucumber
139;Light Meat Tuna in Oil
40;Facial Tissue
144;Others
144;Full Fat Milk
144;Lettuce
410;Plain Water
69;Sliced White Bread
172;Tablet Candy/Chocolate
144;Cakes
339;Chicken Burger
339;Un
340;Evaporated Milk
339;Cappucino
40;Feminine Napkins
339;Labneh
69;Fosfos
69;Labneh
324;Fresh Cabbage
194;Tooth Paste/Gel Standard
40;Dishwashing Liquid
172;Tablet Candy/Chocolate
40;Arabic Coffee
31;Feminine Napkins
69;Triangular Cheese
324;Large
148;Slice Cheese
42;Facial Tissue
42;Dishwashing Liquid
144;Fresh Onions
324;Other Flavoured Stock
339;Plain Cereals
69;Bread
35;Sliced White Bread
339;Plain Water
161;Bag
148;No Added Sugar
67;Sliced Brown Bread
339;Cappucino
144;Chicken Burger
295;Digestive
324;Corn Flour/Starch
161;Chicken Breast
69;Stuffed Green Olives
340;Sterilized Cream/Evap.
339;Chicken Popcorn
69;Plain Cereals
35;Sliced Brown Bread
340;Dishwashing Liquid
69;Arabic Bread
40;Arabic Soft Cheese
69;Slice Cheese
35;Shampoos
172;Long Leaf Tea
144;Full Fat
161;Plain Cereals
324;White Flour
144;Potato
162;Mazza/Sella Basmati
35;Sliced White Bread
161;French Fries
69;Yoghurt Full Fat
69;Facial Tissue Refills
67;Tea/Plain Biscuits
340;Diaper
31;Arabic Soft Cheese
172;Semi Soft Cheese
69;Plain Cream
194;Sliced White Bread
69;Beef Burger
139;Other Chips in Family Pa
139;Sunflower Oil
69;Kunafa
69;Yoghurt Full Fat
226;Shampoos
53;Top Loading
40;Zod Bakery Croissants
40;Shampoos
295;Facial Tissue Refills
42;Tomato Paste In Tetra PC
42;Tea Bags
161;Sliced White Bread
324;Mix Portion
40;Sliced White Bread
42;Garbage Bags 50 Gallon
40;Sunflower Oil
67;Sunflower Oil
194;Honey
40;Chicken Strips
194;Yoghurt Full Fat
339;Sunflower Oil
339;Black Olives
88;Potato Chips in Canister
109;Corn Chips/Curl/Puffs in
282;Mamoul/Date Biscuits
274;Chocolate in Bag
322;Arabic Soft Cheese
228;Instant Coffee
109;Toothbrush
140;Light Meat Tuna in Oil
88;Asian Food
109;No Added Sugar
327;Maccaroni
274;Chicken Nuggets
368;Light Meat Tuna in Oil
368;Chicken Burger
274;Conditioners
282;Baby Wipes
254;Orange
274;Tooth Paste/Gel Standard
274;Top Loading
88;Asian Food
410;Slice Cheese
7;Green Beans
345;Facial Tissue Refills
410;Semi Soft Cheese
228;Egyptian/Calrose
368;Soups In Packets
274;Shampoos
88;Sandwich Biscuits
322;Chicken Burger
274;Room Air Freshner
109;Yoghurt Full Fat
368;Arabic Bread
322;Plain Cream
88;Plain Cream
228;Bread
140;Front Loading
88;Mix Portion
109;Instant Coffee
140;Colourings & Dyes
228;Banana
327;Sliced White Bread
282;Feminine Napkins
368;Chicken Breast
88;Facial Tissue Refills
274;Plain Cereals
274;Evaporated Milk
271;Plain Cream
109;Blackberry
282;Feminine Napkins
274;Facial Cream/Lotion
228;Bread
282;Condensed Milk
410;French Piastries
410;Puff Pastry
109;Beef Mortadella
282;Egyptian
322;Akawi Cheese
282;Dairy Products
282;Kitchen Rolls
274;Portion Cheese
327;Mayonnaise
88;Arabic Bread
282;Donuts
274;Un
109;Sunflower Oil
271;Pomace Olive Oil
7;Okra
274;French Fries
322;Tooth Paste/Gel Standard
109;Sandwich Biscuits
322;Bread
282;Plain Water
282;Plain Cream
274;Mix Pickles
282;Shampoos
274;Large
274;Shampoos
228;Mixed Juice
274;Facial Tissue
109;Sliced Brown Bread
88;Light Meat Tuna in Oil
410;Chicken Breast
410;Feminine Napkins
7;French Fries
88;Mozarella Shredded
322;Arabic Soft Cheese
274;Deo Spray
274;Tooth Paste/Gel Standard
179;Sunflower Oil
410;Beef Mortadella
274;Disinfectant
274;Real Potato Chips in Pol
109;Toothbrush
88;Dishwashing Liquid
282;Toilet Rolls
282;Stuffed Black Olives
322;Bag
88;Slice Cheese
109;Bag
282;Shampoos
322;Slice Cheese
410;Cola
88;Other Chips in Family Pa
254;Apple
410;Beef Mortadella
88;Labneh
410;Labneh
322;Chicken Mortadella
410;Mazza/Sella Basmati
